agency_cd,site_no,datetime,tz_cd,datetime,101280_00060,101280_00060_cd,
USGS,8353000,9/1/2019,5:00,9/1/2019 5:00,MDT,0.74,P
USGS,8353000,9/1/2019,5:15,9/1/2019 5:15,MDT,0.68,P
USGS,8353000,9/1/2019,5:30,9/1/2019 5:30,MDT,0.68,P
USGS,8353000,9/1/2019,5:45,9/1/2019 5:45,MDT,0.68,P
USGS,8353000,9/1/2019,6:00,9/1/2019 6:00,MDT,0.63,P
USGS,8353000,9/1/2019,6:15,9/1/2019 6:15,MDT,0.63,P
USGS,8353000,9/1/2019,6:30,9/1/2019 6:30,MDT,0.58,P
USGS,8353000,9/1/2019,6:45,9/1/2019 6:45,MDT,0.58,P
USGS,8353000,9/1/2019,7:00,9/1/2019 7:00,MDT,0.58,P
USGS,8353000,9/1/2019,7:15,9/1/2019 7:15,MDT,0.58,P
USGS,8353000,9/1/2019,7:30,9/1/2019 7:30,MDT,0.54,P
USGS,8353000,9/1/2019,7:45,9/1/2019 7:45,MDT,0.54,P
USGS,8353000,9/1/2019,8:00,9/1/2019 8:00,MDT,0.54,P
USGS,8353000,9/1/2019,8:15,9/1/2019 8:15,MDT,0.49,P
USGS,8353000,9/1/2019,8:30,9/1/2019 8:30,MDT,0.49,P
USGS,8353000,9/1/2019,8:45,9/1/2019 8:45,MDT,0.49,P
USGS,8353000,9/1/2019,9:00,9/1/2019 9:00,MDT,0.46,P
USGS,8353000,9/1/2019,9:15,9/1/2019 9:15,MDT,0.46,P
USGS,8353000,9/1/2019,9:30,9/1/2019 9:30,MDT,0.46,P
USGS,8353000,9/1/2019,9:45,9/1/2019 9:45,MDT,0.46,P
USGS,8353000,9/1/2019,10:00,9/1/2019 10:00,MDT,0.42,P
USGS,8353000,9/1/2019,10:15,9/1/2019 10:15,MDT,0.46,P
USGS,8353000,9/1/2019,10:30,9/1/2019 10:30,MDT,0.42,P
USGS,8353000,9/1/2019,10:45,9/1/2019 10:45,MDT,0.42,P
USGS,8353000,9/1/2019,11:00,9/1/2019 11:00,MDT,0.42,P
USGS,8353000,9/1/2019,11:15,9/1/2019 11:15,MDT,0.42,P
USGS,8353000,9/1/2019,11:30,9/1/2019 11:30,MDT,0.42,P
USGS,8353000,9/1/2019,11:45,9/1/2019 11:45,MDT,0.42,P
USGS,8353000,9/1/2019,12:00,9/1/2019 12:00,MDT,0.42,P
USGS,8353000,9/1/2019,12:15,9/1/2019 12:15,MDT,0.42,P
USGS,8353000,9/1/2019,12:30,9/1/2019 12:30,MDT,0.42,P
USGS,8353000,9/1/2019,12:45,9/1/2019 12:45,MDT,0.38,P
USGS,8353000,9/1/2019,13:00,9/1/2019 13:00,MDT,0.38,P
USGS,8353000,9/1/2019,13:15,9/1/2019 13:15,MDT,0.38,P
USGS,8353000,9/1/2019,13:30,9/1/2019 13:30,MDT,0.38,P
USGS,8353000,9/1/2019,13:45,9/1/2019 13:45,MDT,0.35,P
USGS,8353000,9/1/2019,14:00,9/1/2019 14:00,MDT,0.35,P
USGS,8353000,9/1/2019,14:15,9/1/2019 14:15,MDT,0.35,P
USGS,8353000,9/1/2019,14:30,9/1/2019 14:30,MDT,0.32,P
USGS,8353000,9/1/2019,14:45,9/1/2019 14:45,MDT,0.32,P
USGS,8353000,9/1/2019,15:00,9/1/2019 15:00,MDT,0.32,P
USGS,8353000,9/1/2019,15:15,9/1/2019 15:15,MDT,0.3,P
USGS,8353000,9/1/2019,15:30,9/1/2019 15:30,MDT,0.27,P
USGS,8353000,9/1/2019,15:45,9/1/2019 15:45,MDT,0.27,P
USGS,8353000,9/1/2019,16:00,9/1/2019 16:00,MDT,0.27,P
USGS,8353000,9/1/2019,16:15,9/1/2019 16:15,MDT,0.25,P
USGS,8353000,9/1/2019,16:30,9/1/2019 16:30,MDT,0.25,P
USGS,8353000,9/1/2019,16:45,9/1/2019 16:45,MDT,0.25,P
USGS,8353000,9/1/2019,17:00,9/1/2019 17:00,MDT,0.22,P
USGS,8353000,9/1/2019,17:15,9/1/2019 17:15,MDT,0.2,P
USGS,8353000,9/1/2019,17:30,9/1/2019 17:30,MDT,0.2,P
USGS,8353000,9/1/2019,17:45,9/1/2019 17:45,MDT,0.2,P
USGS,8353000,9/1/2019,18:00,9/1/2019 18:00,MDT,0.19,P
USGS,8353000,9/1/2019,18:15,9/1/2019 18:15,MDT,0.17,P
USGS,8353000,9/1/2019,18:30,9/1/2019 18:30,MDT,0.15,P
USGS,8353000,9/1/2019,18:45,9/1/2019 18:45,MDT,0.15,P
USGS,8353000,9/1/2019,19:00,9/1/2019 19:00,MDT,0.15,P
USGS,8353000,9/1/2019,19:15,9/1/2019 19:15,MDT,0.14,P
USGS,8353000,9/1/2019,19:30,9/1/2019 19:30,MDT,0.14,P
USGS,8353000,9/1/2019,19:45,9/1/2019 19:45,MDT,0.13,P
USGS,8353000,9/1/2019,20:00,9/1/2019 20:00,MDT,0.13,P
USGS,8353000,9/1/2019,20:15,9/1/2019 20:15,MDT,0.13,P
USGS,8353000,9/1/2019,20:30,9/1/2019 20:30,MDT,0.13,P
USGS,8353000,9/1/2019,20:45,9/1/2019 20:45,MDT,0.13,P
USGS,8353000,9/1/2019,21:00,9/1/2019 21:00,MDT,0.13,P
USGS,8353000,9/1/2019,21:15,9/1/2019 21:15,MDT,0.13,P
